perf_id,title,genre,venue_name,perf_start_date,perf_end_date,total_ticket_sales_qty,verified_video_count
PF262145,선녀씨 이야기 [대전],연극,대전시립연정국악원 작은마당,2025-05-02,2025-05-02,185,0
PF244793,쾌도난장 [고흥],한국음악(국악),고흥문화회관 김연수실,2024-07-26,2024-07-27,185,1
PF246254,"운수대통: 젊은 것들아, 잘봐라 우리도 할 수 있어 [사천]",연극,사천문화예술회관 대공연장,2024-08-22,2024-08-22,185,0
PF279775,"대전시립교향악단 마스터즈 시리즈11, 송년음악회: 합창 [대전]",서양음악(클래식),대전시립연정국악원 큰마당,2025-12-16,2025-12-16,184,0
PF251742,"강동예술인페스티벌, 구립국악관현악단",한국음악(국악),강동아트센터 소극장 드림,2024-10-20,2024-10-20,184,0
PF224898,슬리핑 뷰티 [충주],무용(서양/한국무용),충주시문화회관,2023-09-15,2023-09-16,184,1
PF277814,"화요국악무대, 허튼가락 산조 [대구]",서양음악(클래식),대구문화예술회관 비슬홀,2025-11-25,2025-11-25,184,1
PF276427,김영욱 x 콜레기움 무지쿰 서울: 8 Seasons [부산],서양음악(클래식),금정문화회관 대공연장(금빛누리홀),2025-12-06,2025-12-06,183,0
PF273814,"ACC 수요극장, 브람스 교향곡 4번 (영상화)",서양음악(클래식),국립아시아문화전당 극장3,2025-10-01,2025-10-01,183,0
PF288282,"대전시립연정국악단, 토요국악 (04.25)",한국음악(국악),대전시립연정국악원 작은마당,2026-04-25,2026-04-25,182,0
PF253459,인간탐구생활 [영천],뮤지컬,영천시민회관 스타홀,2024-11-23,2024-11-23,182,0
PF235042,제177회 원주시립교향악단 정기연주회,서양음악(클래식),원주백운아트홀,2024-02-23,2024-02-23,182,0
PF273505,브라스 무브먼트 [전남 무안],서양음악(클래식),남도소리울림터,2025-09-27,2025-09-27,182,0
PF287546,"남동문화재단 N-Pick, 국립현대무용단, 얍!얍!얍! [인천]",무용(서양/한국무용),남동소래아트홀 소래극장 (대공연장) ,2026-04-17,2026-04-18,181,0
